INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,Nigeria,45
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,Nigeria,59.2
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,Nigeria,54.5
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,Nigeria,61.4
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,Nigeria,81.4
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,Nigeria,38.5
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,Nigeria,88.5
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,Nigeria,40
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,Nigeria,55.7
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,Nigeria,94.3
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,Nigeria,80
Per capita government expenditure on health (PPP int. $),1995,Western Pacific,Niue,245.5
Per capita government expenditure on health (PPP int. $),1997,Western Pacific,Niue,303.5
Per capita government expenditure on health (PPP int. $),1999,Western Pacific,Niue,306.8
Per capita government expenditure on health (PPP int. $),1996,Western Pacific,Niue,322.2
Per capita government expenditure on health (PPP int. $),1998,Western Pacific,Niue,292.6
Per capita government expenditure on health (PPP int. $),2012,Western Pacific,Niue,1810.7
Per capita government expenditure on health (PPP int. $),2010,Western Pacific,Niue,1836.7
Per capita government expenditure on health (PPP int. $),2003,Western Pacific,Niue,1262
Per capita government expenditure on health (PPP int. $),2004,Western Pacific,Niue,1575
Per capita government expenditure on health (PPP int. $),2002,Western Pacific,Niue,1244.8
Per capita government expenditure on health (PPP int. $),2005,Western Pacific,Niue,1279.1
Per capita government expenditure on health (PPP int. $),2007,Western Pacific,Niue,2210.2
Per capita government expenditure on health (PPP int. $),2008,Western Pacific,Niue,2758.8
Per capita government expenditure on health (PPP int. $),2000,Western Pacific,Niue,801.7
Per capita government expenditure on health (PPP int. $),2011,Western Pacific,Niue,2588
Per capita government expenditure on health (PPP int. $),2001,Western Pacific,Niue,4135.5
Per capita government expenditure on health (PPP int. $),2006,Western Pacific,Niue,7004.2
Per capita government expenditure on health (PPP int. $),2009,Western Pacific,Niue,2983.9
Per capita government expenditure on health at average exchange rate (US$),1996,Western Pacific,Niue,462.9
Per capita government expenditure on health at average exchange rate (US$),1998,Western Pacific,Niue,316.4
Per capita government expenditure on health at average exchange rate (US$),1999,Western Pacific,Niue,379.9
Per capita government expenditure on health at average exchange rate (US$),2000,Western Pacific,Niue,313.2
Per capita government expenditure on health at average exchange rate (US$),2002,Western Pacific,Niue,454.8
Per capita government expenditure on health at average exchange rate (US$),1995,Western Pacific,Niue,344.8
Per capita government expenditure on health at average exchange rate (US$),1997,Western Pacific,Niue,407.3
Per capita government expenditure on health at average exchange rate (US$),2003,Western Pacific,Niue,564.3
Per capita government expenditure on health at average exchange rate (US$),2012,Western Pacific,Niue,1247
Per capita government expenditure on health at average exchange rate (US$),2009,Western Pacific,Niue,1658.9
Per capita government expenditure on health at average exchange rate (US$),2011,Western Pacific,Niue,1799.2
Per capita government expenditure on health at average exchange rate (US$),2005,Western Pacific,Niue,657.4
Per capita government expenditure on health at average exchange rate (US$),2010,Western Pacific,Niue,1191.1
Per capita government expenditure on health at average exchange rate (US$),2004,Western Pacific,Niue,803.8
Per capita government expenditure on health at average exchange rate (US$),2007,Western Pacific,Niue,1250.8
Per capita government expenditure on health at average exchange rate (US$),2008,Western Pacific,Niue,1570.7
Per capita government expenditure on health at average exchange rate (US$),2001,Western Pacific,Niue,1443
Per capita government expenditure on health at average exchange rate (US$),2006,Western Pacific,Niue,3452
Per capita total expenditure on health (PPP int. $),1998,Western Pacific,Niue,297.5
Per capita total expenditure on health (PPP int. $),1997,Western Pacific,Niue,308.2
Per capita total expenditure on health (PPP int. $),1996,Western Pacific,Niue,326.6
Per capita total expenditure on health (PPP int. $),1995,Western Pacific,Niue,249.5
Per capita total expenditure on health (PPP int. $),1999,Western Pacific,Niue,311.2
Per capita total expenditure on health (PPP int. $),2010,Western Pacific,Niue,1864.1
Per capita total expenditure on health (PPP int. $),2000,Western Pacific,Niue,814.3
Per capita total expenditure on health (PPP int. $),2012,Western Pacific,Niue,1844.5
Per capita total expenditure on health (PPP int. $),2002,Western Pacific,Niue,1262.5
Per capita total expenditure on health (PPP int. $),2003,Western Pacific,Niue,1279.2
Per capita total expenditure on health (PPP int. $),2005,Western Pacific,Niue,1298.4
Per capita total expenditure on health (PPP int. $),2007,Western Pacific,Niue,2232.8
Per capita total expenditure on health (PPP int. $),2009,Western Pacific,Niue,3009.2
Per capita total expenditure on health (PPP int. $),2001,Western Pacific,Niue,4150.4
Per capita total expenditure on health (PPP int. $),2004,Western Pacific,Niue,1592
Per capita total expenditure on health (PPP int. $),2006,Western Pacific,Niue,7026.2
Per capita total expenditure on health (PPP int. $),2011,Western Pacific,Niue,2618.1
Per capita total expenditure on health (PPP int. $),2008,Western Pacific,Niue,2782.9
Per capita total expenditure on health at average exchange rate (US$),1999,Western Pacific,Niue,385.4
Per capita total expenditure on health at average exchange rate (US$),2000,Western Pacific,Niue,318.2
Per capita total expenditure on health at average exchange rate (US$),1995,Western Pacific,Niue,350.4
Per capita total expenditure on health at average exchange rate (US$),1997,Western Pacific,Niue,413.6
Per capita total expenditure on health at average exchange rate (US$),1998,Western Pacific,Niue,321.7
Per capita total expenditure on health at average exchange rate (US$),2002,Western Pacific,Niue,461.3
Per capita total expenditure on health at average exchange rate (US$),1996,Western Pacific,Niue,469.1
Per capita total expenditure on health at average exchange rate (US$),2005,Western Pacific,Niue,667.3
Per capita total expenditure on health at average exchange rate (US$),2010,Western Pacific,Niue,1208.9
Per capita total expenditure on health at average exchange rate (US$),2004,Western Pacific,Niue,812.5
Per capita total expenditure on health at average exchange rate (US$),2007,Western Pacific,Niue,1263.5
Per capita total expenditure on health at average exchange rate (US$),2012,Western Pacific,Niue,1270.2
Per capita total expenditure on health at average exchange rate (US$),2001,Western Pacific,Niue,1448.2
Per capita total expenditure on health at average exchange rate (US$),2009,Western Pacific,Niue,1673
Per capita total expenditure on health at average exchange rate (US$),2003,Western Pacific,Niue,572
Per capita total expenditure on health at average exchange rate (US$),2008,Western Pacific,Niue,1584.4
Per capita total expenditure on health at average exchange rate (US$),2011,Western Pacific,Niue,1820.1
Per capita total expenditure on health at average exchange rate (US$),2006,Western Pacific,Niue,3462.9
Per capita government expenditure on health (PPP int. $),1996,Europe,Norway,1931.1
Per capita government expenditure on health (PPP int. $),1995,Europe,Norway,1702.7
Per capita government expenditure on health (PPP int. $),2006,Europe,Norway,4201.8
Per capita government expenditure on health (PPP int. $),2011,Europe,Norway,5198.4
Per capita government expenditure on health (PPP int. $),1997,Europe,Norway,2170.3
Per capita government expenditure on health (PPP int. $),2002,Europe,Norway,3240.6
Per capita government expenditure on health (PPP int. $),2001,Europe,Norway,3029.5
Per capita government expenditure on health (PPP int. $),2003,Europe,Norway,3389
Per capita government expenditure on health (PPP int. $),2004,Europe,Norway,3592.1
Per capita government expenditure on health (PPP int. $),2005,Europe,Norway,3818.1
Per capita government expenditure on health (PPP int. $),2012,Europe,Norway,5079.6
Per capita government expenditure on health (PPP int. $),1999,Europe,Norway,2481.3
Per capita government expenditure on health (PPP int. $),2000,Europe,Norway,2764.6
Per capita government expenditure on health (PPP int. $),2009,Europe,Norway,4697.8
Per capita government expenditure on health (PPP int. $),1998,Europe,Norway,2303.2
Per capita government expenditure on health (PPP int. $),2007,Europe,Norway,4497.1
Per capita government expenditure on health (PPP int. $),2008,Europe,Norway,4701
Per capita government expenditure on health (PPP int. $),2010,Europe,Norway,4925.6
Per capita government expenditure on health at average exchange rate (US$),2001,Europe,Norway,3092.8
Per capita government expenditure on health at average exchange rate (US$),2002,Europe,Norway,3698.2
Per capita government expenditure on health at average exchange rate (US$),2005,Europe,Norway,5272.4
Per capita government expenditure on health at average exchange rate (US$),2011,Europe,Norway,8435.5
Per capita government expenditure on health at average exchange rate (US$),2010,Europe,Norway,7381.4
Per capita government expenditure on health at average exchange rate (US$),1995,Europe,Norway,2470.4
Per capita government expenditure on health at average exchange rate (US$),1997,Europe,Norway,2790.8
Per capita government expenditure on health at average exchange rate (US$),2000,Europe,Norway,2867.3
Per capita government expenditure on health at average exchange rate (US$),2006,Europe,Norway,5700.5
Per capita government expenditure on health at average exchange rate (US$),2003,Europe,Norway,4361.6
Per capita government expenditure on health at average exchange rate (US$),2009,Europe,Norway,6727.9
Per capita government expenditure on health at average exchange rate (US$),1998,Europe,Norway,2866.1
Per capita government expenditure on health at average exchange rate (US$),1999,Europe,Norway,2967.9
Per capita government expenditure on health at average exchange rate (US$),2007,Europe,Norway,6733.1
Per capita government expenditure on health at average exchange rate (US$),2012,Europe,Norway,7704.4
Per capita government expenditure on health at average exchange rate (US$),1996,Europe,Norway,2711.9
Per capita government expenditure on health at average exchange rate (US$),2004,Europe,Norway,4789.5
Per capita government expenditure on health at average exchange rate (US$),2008,Europe,Norway,7295
Per capita total expenditure on health (PPP int. $),2004,Europe,Norway,4299.7
Per capita total expenditure on health (PPP int. $),2010,Europe,Norway,5801.7
Per capita total expenditure on health (PPP int. $),1996,Europe,Norway,2374.9
Per capita total expenditure on health (PPP int. $),1999,Europe,Norway,3008
Per capita total expenditure on health (PPP int. $),1995,Europe,Norway,2023
Per capita total expenditure on health (PPP int. $),2001,Europe,Norway,3629.2
Per capita total expenditure on health (PPP int. $),2011,Europe,Norway,6105.9
Per capita total expenditure on health (PPP int. $),2000,Europe,Norway,3308.7
Per capita total expenditure on health (PPP int. $),2005,Europe,Norway,4557.4
Per capita total expenditure on health (PPP int. $),2009,Europe,Norway,5546.6
Per capita total expenditure on health (PPP int. $),2008,Europe,Norway,5558.9
Per capita total expenditure on health (PPP int. $),1997,Europe,Norway,2640.7
Per capita total expenditure on health (PPP int. $),2003,Europe,Norway,4055.9
Per capita total expenditure on health (PPP int. $),1998,Europe,Norway,2789.8
Per capita total expenditure on health (PPP int. $),2002,Europe,Norway,3871.3
Per capita total expenditure on health (PPP int. $),2006,Europe,Norway,4996.4
Per capita total expenditure on health (PPP int. $),2007,Europe,Norway,5328.4
Per capita total expenditure on health (PPP int. $),2012,Europe,Norway,5970.3
Per capita total expenditure on health at average exchange rate (US$),1996,Europe,Norway,3335.2
Per capita total expenditure on health at average exchange rate (US$),1997,Europe,Norway,3395.6
Per capita total expenditure on health at average exchange rate (US$),1998,Europe,Norway,3471.6
Per capita total expenditure on health at average exchange rate (US$),2001,Europe,Norway,3705.1
Per capita total expenditure on health at average exchange rate (US$),2004,Europe,Norway,5733
Per capita total expenditure on health at average exchange rate (US$),2009,Europe,Norway,7943.5
Per capita total expenditure on health at average exchange rate (US$),2005,Europe,Norway,6293.3
Per capita total expenditure on health at average exchange rate (US$),2012,Europe,Norway,9055.4
Per capita total expenditure on health at average exchange rate (US$),1995,Europe,Norway,2935
Per capita total expenditure on health at average exchange rate (US$),2008,Europe,Norway,8626.3
Per capita total expenditure on health at average exchange rate (US$),2010,Europe,Norway,8694.3
Per capita total expenditure on health at average exchange rate (US$),2000,Europe,Norway,3431.5
Per capita total expenditure on health at average exchange rate (US$),1999,Europe,Norway,3597.9
Per capita total expenditure on health at average exchange rate (US$),2007,Europe,Norway,7977.8
Per capita total expenditure on health at average exchange rate (US$),2011,Europe,Norway,9908.2
Per capita total expenditure on health at average exchange rate (US$),2002,Europe,Norway,4418
Per capita total expenditure on health at average exchange rate (US$),2003,Europe,Norway,5219.8
Per capita total expenditure on health at average exchange rate (US$),2006,Europe,Norway,6778.5
Per capita government expenditure on health (PPP int. $),1997,Eastern Mediterranean,Oman,400.2
Per capita government expenditure on health (PPP int. $),1998,Eastern Mediterranean,Oman,450.7
Per capita government expenditure on health (PPP int. $),2008,Eastern Mediterranean,Oman,478.8
Per capita government expenditure on health (PPP int. $),1995,Eastern Mediterranean,Oman,394.8
Per capita government expenditure on health (PPP int. $),1996,Eastern Mediterranean,Oman,398.8
Per capita government expenditure on health (PPP int. $),2005,Eastern Mediterranean,Oman,562.7
Per capita government expenditure on health (PPP int. $),1999,Eastern Mediterranean,Oman,436.5
Per capita government expenditure on health (PPP int. $),2001,Eastern Mediterranean,Oman,580.3
Per capita government expenditure on health (PPP int. $),2006,Eastern Mediterranean,Oman,529.1
Per capita government expenditure on health (PPP int. $),2000,Eastern Mediterranean,Oman,536.9
Per capita government expenditure on health (PPP int. $),2011,Eastern Mediterranean,Oman,561.5
Per capita government expenditure on health (PPP int. $),2012,Eastern Mediterranean,Oman,651.8
Per capita government expenditure on health (PPP int. $),2007,Eastern Mediterranean,Oman,599.9
Per capita government expenditure on health (PPP int. $),2004,Eastern Mediterranean,Oman,606.6
Per capita government expenditure on health (PPP int. $),2002,Eastern Mediterranean,Oman,626
Per capita government expenditure on health (PPP int. $),2009,Eastern Mediterranean,Oman,650.8
Per capita government expenditure on health (PPP int. $),2010,Eastern Mediterranean,Oman,497.1
Per capita government expenditure on health (PPP int. $),2003,Eastern Mediterranean,Oman,626.3
Per capita government expenditure on health at average exchange rate (US$),1997,Eastern Mediterranean,Oman,192.3
Per capita government expenditure on health at average exchange rate (US$),1999,Eastern Mediterranean,Oman,198.9
Per capita government expenditure on health at average exchange rate (US$),1995,Eastern Mediterranean,Oman,187.1
Per capita government expenditure on health at average exchange rate (US$),2000,Eastern Mediterranean,Oman,215.8
Per capita government expenditure on health at average exchange rate (US$),1998,Eastern Mediterranean,Oman,185.8
Per capita government expenditure on health at average exchange rate (US$),1996,Eastern Mediterranean,Oman,199.6
Per capita government expenditure on health at average exchange rate (US$),2005,Eastern Mediterranean,Oman,272.6
Per capita government expenditure on health at average exchange rate (US$),2009,Eastern Mediterranean,Oman,410.5
Per capita government expenditure on health at average exchange rate (US$),2004,Eastern Mediterranean,Oman,253.8
Per capita government expenditure on health at average exchange rate (US$),2002,Eastern Mediterranean,Oman,232.2
Per capita government expenditure on health at average exchange rate (US$),2006,Eastern Mediterranean,Oman,278.6
Per capita government expenditure on health at average exchange rate (US$),2011,Eastern Mediterranean,Oman,498.2
Per capita government expenditure on health at average exchange rate (US$),2012,Eastern Mediterranean,Oman,555.1
Per capita government expenditure on health at average exchange rate (US$),2003,Eastern Mediterranean,Oman,243.5
Per capita government expenditure on health at average exchange rate (US$),2001,Eastern Mediterranean,Oman,215.8
Per capita government expenditure on health at average exchange rate (US$),2007,Eastern Mediterranean,Oman,323.4
Per capita government expenditure on health at average exchange rate (US$),2008,Eastern Mediterranean,Oman,366.4
Per capita government expenditure on health at average exchange rate (US$),2010,Eastern Mediterranean,Oman,478.4
Per capita total expenditure on health (PPP int. $),1996,Eastern Mediterranean,Oman,475.1
Per capita total expenditure on health (PPP int. $),1995,Eastern Mediterranean,Oman,470.3
Per capita total expenditure on health (PPP int. $),1997,Eastern Mediterranean,Oman,482.3
Per capita total expenditure on health (PPP int. $),1998,Eastern Mediterranean,Oman,552.7
Per capita total expenditure on health (PPP int. $),2003,Eastern Mediterranean,Oman,755.6
Per capita total expenditure on health (PPP int. $),2008,Eastern Mediterranean,Oman,617.8
Per capita total expenditure on health (PPP int. $),2000,Eastern Mediterranean,Oman,656.8
Per capita total expenditure on health (PPP int. $),2005,Eastern Mediterranean,Oman,683.4
Per capita total expenditure on health (PPP int. $),2011,Eastern Mediterranean,Oman,687.7
Per capita total expenditure on health (PPP int. $),2001,Eastern Mediterranean,Oman,707.2
Per capita total expenditure on health (PPP int. $),2012,Eastern Mediterranean,Oman,810.4
Per capita total expenditure on health (PPP int. $),2002,Eastern Mediterranean,Oman,749.7
Per capita total expenditure on health (PPP int. $),2004,Eastern Mediterranean,Oman,740.5
Per capita total expenditure on health (PPP int. $),2007,Eastern Mediterranean,Oman,747.6
Per capita total expenditure on health (PPP int. $),1999,Eastern Mediterranean,Oman,534.6
Per capita total expenditure on health (PPP int. $),2010,Eastern Mediterranean,Oman,605.1
Per capita total expenditure on health (PPP int. $),2006,Eastern Mediterranean,Oman,656.5
Per capita total expenditure on health (PPP int. $),2009,Eastern Mediterranean,Oman,809.8
Per capita total expenditure on health at average exchange rate (US$),1997,Eastern Mediterranean,Oman,231.8
Per capita total expenditure on health at average exchange rate (US$),1996,Eastern Mediterranean,Oman,237.8
Per capita total expenditure on health at average exchange rate (US$),1998,Eastern Mediterranean,Oman,227.8
Per capita total expenditure on health at average exchange rate (US$),2006,Eastern Mediterranean,Oman,345.7
Per capita total expenditure on health at average exchange rate (US$),1999,Eastern Mediterranean,Oman,243.6
Per capita total expenditure on health at average exchange rate (US$),2000,Eastern Mediterranean,Oman,264
Per capita total expenditure on health at average exchange rate (US$),2008,Eastern Mediterranean,Oman,472.7
Per capita total expenditure on health at average exchange rate (US$),2003,Eastern Mediterranean,Oman,293.8
Per capita total expenditure on health at average exchange rate (US$),2005,Eastern Mediterranean,Oman,331
Per capita total expenditure on health at average exchange rate (US$),2007,Eastern Mediterranean,Oman,403.1
Per capita total expenditure on health at average exchange rate (US$),2009,Eastern Mediterranean,Oman,510.8
Per capita total expenditure on health at average exchange rate (US$),1995,Eastern Mediterranean,Oman,222.9
Per capita total expenditure on health at average exchange rate (US$),2001,Eastern Mediterranean,Oman,263
Per capita total expenditure on health at average exchange rate (US$),2002,Eastern Mediterranean,Oman,278.1
Per capita total expenditure on health at average exchange rate (US$),2004,Eastern Mediterranean,Oman,309.8
Per capita total expenditure on health at average exchange rate (US$),2011,Eastern Mediterranean,Oman,610.1
Per capita total expenditure on health at average exchange rate (US$),2010,Eastern Mediterranean,Oman,582.3
Per capita total expenditure on health at average exchange rate (US$),2012,Eastern Mediterranean,Oman,690.1
Per capita government expenditure on health (PPP int. $),2001,Eastern Mediterranean,Pakistan,9.9
Per capita government expenditure on health (PPP int. $),2010,Eastern Mediterranean,Pakistan,25.5
Per capita government expenditure on health (PPP int. $),1999,Eastern Mediterranean,Pakistan,11.4
Per capita government expenditure on health (PPP int. $),2006,Eastern Mediterranean,Pakistan,19.6
Per capita government expenditure on health (PPP int. $),2009,Eastern Mediterranean,Pakistan,21.5
Per capita government expenditure on health (PPP int. $),2012,Eastern Mediterranean,Pakistan,28.5
Per capita government expenditure on health (PPP int. $),2005,Eastern Mediterranean,Pakistan,15.9
Per capita government expenditure on health (PPP int. $),1995,Eastern Mediterranean,Pakistan,12.5
Per capita government expenditure on health (PPP int. $),2003,Eastern Mediterranean,Pakistan,12.6
Per capita government expenditure on health (PPP int. $),2004,Eastern Mediterranean,Pakistan,14.3
Per capita government expenditure on health (PPP int. $),2011,Eastern Mediterranean,Pakistan,25.6
Per capita government expenditure on health (PPP int. $),2000,Eastern Mediterranean,Pakistan,10.7
Per capita government expenditure on health (PPP int. $),1998,Eastern Mediterranean,Pakistan,11.5
Per capita government expenditure on health (PPP int. $),1997,Eastern Mediterranean,Pakistan,13
Per capita government expenditure on health (PPP int. $),1996,Eastern Mediterranean,Pakistan,14.1
Per capita government expenditure on health (PPP int. $),2002,Eastern Mediterranean,Pakistan,15
Per capita government expenditure on health (PPP int. $),2007,Eastern Mediterranean,Pakistan,21
Per capita government expenditure on health (PPP int. $),2008,Eastern Mediterranean,Pakistan,21.9
Per capita government expenditure on health at average exchange rate (US$),2008,Eastern Mediterranean,Pakistan,7.6
Per capita government expenditure on health at average exchange rate (US$),2009,Eastern Mediterranean,Pakistan,7.6
Per capita government expenditure on health at average exchange rate (US$),1999,Eastern Mediterranean,Pakistan,3.1
Per capita government expenditure on health at average exchange rate (US$),1998,Eastern Mediterranean,Pakistan,3.2
Per capita government expenditure on health at average exchange rate (US$),2000,Eastern Mediterranean,Pakistan,3.2
Per capita government expenditure on health at average exchange rate (US$),2006,Eastern Mediterranean,Pakistan,6.7
Per capita government expenditure on health at average exchange rate (US$),2010,Eastern Mediterranean,Pakistan,9.6
Per capita government expenditure on health at average exchange rate (US$),2001,Eastern Mediterranean,Pakistan,2.7
Per capita government expenditure on health at average exchange rate (US$),2005,Eastern Mediterranean,Pakistan,5.1
Per capita government expenditure on health at average exchange rate (US$),2007,Eastern Mediterranean,Pakistan,7.4
Per capita government expenditure on health at average exchange rate (US$),2011,Eastern Mediterranean,Pakistan,11
Per capita government expenditure on health at average exchange rate (US$),1996,Eastern Mediterranean,Pakistan,4.2
Per capita government expenditure on health at average exchange rate (US$),2003,Eastern Mediterranean,Pakistan,3.9
Per capita government expenditure on health at average exchange rate (US$),2002,Eastern Mediterranean,Pakistan,4.3
Per capita government expenditure on health at average exchange rate (US$),2004,Eastern Mediterranean,Pakistan,4.5
Per capita government expenditure on health at average exchange rate (US$),1997,Eastern Mediterranean,Pakistan,3.8
Per capita government expenditure on health at average exchange rate (US$),1995,Eastern Mediterranean,Pakistan,4
Per capita government expenditure on health at average exchange rate (US$),2012,Eastern Mediterranean,Pakistan,12.4
Per capita total expenditure on health (PPP int. $),2000,Eastern Mediterranean,Pakistan,49.4
Per capita total expenditure on health (PPP int. $),2004,Eastern Mediterranean,Pakistan,55.4
Per capita total expenditure on health (PPP int. $),2008,Eastern Mediterranean,Pakistan,85.1
Per capita total expenditure on health (PPP int. $),1997,Eastern Mediterranean,Pakistan,50.6
Per capita total expenditure on health (PPP int. $),1996,Eastern Mediterranean,Pakistan,50.7
Per capita total expenditure on health (PPP int. $),2003,Eastern Mediterranean,Pakistan,51.6
Per capita total expenditure on health (PPP int. $),1999,Eastern Mediterranean,Pakistan,58.5
Per capita total expenditure on health (PPP int. $),2012,Eastern Mediterranean,Pakistan,77.3
Per capita total expenditure on health (PPP int. $),2006,Eastern Mediterranean,Pakistan,84.7
Per capita total expenditure on health (PPP int. $),1995,Eastern Mediterranean,Pakistan,47.4
Per capita total expenditure on health (PPP int. $),2002,Eastern Mediterranean,Pakistan,51.5
Per capita total expenditure on health (PPP int. $),2005,Eastern Mediterranean,Pakistan,68.3
Per capita total expenditure on health (PPP int. $),2010,Eastern Mediterranean,Pakistan,80.6
Per capita total expenditure on health (PPP int. $),2007,Eastern Mediterranean,Pakistan,87.5
Per capita total expenditure on health (PPP int. $),2001,Eastern Mediterranean,Pakistan,47.3
Per capita total expenditure on health (PPP int. $),1998,Eastern Mediterranean,Pakistan,55.3
Per capita total expenditure on health (PPP int. $),2009,Eastern Mediterranean,Pakistan,77.8
Per capita total expenditure on health (PPP int. $),2011,Eastern Mediterranean,Pakistan,82.7
Per capita total expenditure on health at average exchange rate (US$),1997,Eastern Mediterranean,Pakistan,14.7
Per capita total expenditure on health at average exchange rate (US$),2002,Eastern Mediterranean,Pakistan,14.8
Per capita total expenditure on health at average exchange rate (US$),1996,Eastern Mediterranean,Pakistan,15.1
Per capita total expenditure on health at average exchange rate (US$),1995,Eastern Mediterranean,Pakistan,15.1
Per capita total expenditure on health at average exchange rate (US$),1999,Eastern Mediterranean,Pakistan,15.6
Per capita total expenditure on health at average exchange rate (US$),2003,Eastern Mediterranean,Pakistan,15.7
Per capita total expenditure on health at average exchange rate (US$),2009,Eastern Mediterranean,Pakistan,27.5
Per capita total expenditure on health at average exchange rate (US$),2000,Eastern Mediterranean,Pakistan,14.9
Per capita total expenditure on health at average exchange rate (US$),2004,Eastern Mediterranean,Pakistan,17.5
Per capita total expenditure on health at average exchange rate (US$),2005,Eastern Mediterranean,Pakistan,21.9
Per capita total expenditure on health at average exchange rate (US$),1998,Eastern Mediterranean,Pakistan,15.6
Per capita total expenditure on health at average exchange rate (US$),2001,Eastern Mediterranean,Pakistan,13
Per capita total expenditure on health at average exchange rate (US$),2008,Eastern Mediterranean,Pakistan,29.4
Per capita total expenditure on health at average exchange rate (US$),2006,Eastern Mediterranean,Pakistan,28.7
Per capita total expenditure on health at average exchange rate (US$),2010,Eastern Mediterranean,Pakistan,30.3
Per capita total expenditure on health at average exchange rate (US$),2012,Eastern Mediterranean,Pakistan,33.6
Per capita total expenditure on health at average exchange rate (US$),2011,Eastern Mediterranean,Pakistan,35.6
Per capita total expenditure on health at average exchange rate (US$),2007,Eastern Mediterranean,Pakistan,30.8
Per capita government expenditure on health (PPP int. $),2000,Western Pacific,Palau,916.7
Per capita government expenditure on health (PPP int. $),2003,Western Pacific,Palau,983.2
Per capita government expenditure on health (PPP int. $),2010,Western Pacific,Palau,1260.7
Per capita government expenditure on health (PPP int. $),1998,Western Pacific,Palau,1168.9
Per capita government expenditure on health (PPP int. $),2011,Western Pacific,Palau,1187.2
Per capita government expenditure on health (PPP int. $),1996,Western Pacific,Palau,1465.2
Per capita government expenditure on health (PPP int. $),2001,Western Pacific,Palau,938.7
Per capita government expenditure on health (PPP int. $),2006,Western Pacific,Palau,1168.5
Per capita government expenditure on health (PPP int. $),2008,Western Pacific,Palau,1202.7
Per capita government expenditure on health (PPP int. $),2007,Western Pacific,Palau,1252.4
Per capita government expenditure on health (PPP int. $),1997,Western Pacific,Palau,1439.5
Per capita government expenditure on health (PPP int. $),2002,Western Pacific,Palau,930.3
Per capita government expenditure on health (PPP int. $),2009,Western Pacific,Palau,1092.2
Per capita government expenditure on health (PPP int. $),2004,Western Pacific,Palau,1130.7
Per capita government expenditure on health (PPP int. $),1995,Western Pacific,Palau,1269.2
Per capita government expenditure on health (PPP int. $),2005,Western Pacific,Palau,1078
Per capita government expenditure on health (PPP int. $),1999,Western Pacific,Palau,1186.2
Per capita government expenditure on health (PPP int. $),2012,Western Pacific,Palau,1295
Per capita government expenditure on health at average exchange rate (US$),1998,Western Pacific,Palau,493.9
Per capita government expenditure on health at average exchange rate (US$),1995,Western Pacific,Palau,527.5
Per capita government expenditure on health at average exchange rate (US$),2002,Western Pacific,Palau,513.4
Per capita government expenditure on health at average exchange rate (US$),1999,Western Pacific,Palau,505.1
Per capita government expenditure on health at average exchange rate (US$),2004,Western Pacific,Palau,632.7
Per capita government expenditure on health at average exchange rate (US$),2008,Western Pacific,Palau,688.7
Per capita government expenditure on health at average exchange rate (US$),2010,Western Pacific,Palau,735.4
Per capita government expenditure on health at average exchange rate (US$),2006,Western Pacific,Palau,662.4
Per capita government expenditure on health at average exchange rate (US$),2003,Western Pacific,Palau,538.3
Per capita government expenditure on health at average exchange rate (US$),2007,Western Pacific,Palau,691.2
Per capita government expenditure on health at average exchange rate (US$),1997,Western Pacific,Palau,607.1
Per capita government expenditure on health at average exchange rate (US$),2005,Western Pacific,Palau,610
Per capita government expenditure on health at average exchange rate (US$),2012,Western Pacific,Palau,749
Per capita government expenditure on health at average exchange rate (US$),2000,Western Pacific,Palau,531.7
Per capita government expenditure on health at average exchange rate (US$),2001,Western Pacific,Palau,535.3
Per capita government expenditure on health at average exchange rate (US$),1996,Western Pacific,Palau,615.8
Per capita government expenditure on health at average exchange rate (US$),2009,Western Pacific,Palau,643.9
Per capita government expenditure on health at average exchange rate (US$),2011,Western Pacific,Palau,689.5
Per capita total expenditure on health (PPP int. $),2011,Western Pacific,Palau,1588.4
Per capita total expenditure on health (PPP int. $),2005,Western Pacific,Palau,1381.7
Per capita total expenditure on health (PPP int. $),2008,Western Pacific,Palau,1577.9
Per capita total expenditure on health (PPP int. $),1998,Western Pacific,Palau,1802.8
Per capita total expenditure on health (PPP int. $),2003,Western Pacific,Palau,1243
Per capita total expenditure on health (PPP int. $),2004,Western Pacific,Palau,1408.1
Per capita total expenditure on health (PPP int. $),2006,Western Pacific,Palau,1494.6
Per capita total expenditure on health (PPP int. $),2001,Western Pacific,Palau,1171.7
Per capita total expenditure on health (PPP int. $),2007,Western Pacific,Palau,1629.3
Per capita total expenditure on health (PPP int. $),1997,Western Pacific,Palau,2034
Per capita total expenditure on health (PPP int. $),2002,Western Pacific,Palau,1201.5
Per capita total expenditure on health (PPP int. $),2012,Western Pacific,Palau,1680.3
Per capita total expenditure on health (PPP int. $),1999,Western Pacific,Palau,1887.8
